category,name,price,description,veg_nonveg,spice_level
Cheese Burst - 3 New Flavours,Indi Chicken Tikka Cheese Burst,₹478,"Now in 3 New Flavours - Molten Cheese Indulgence with wholesome flavour of tandoori masala topped with Chicken tikka, onion, red paprika & mint mayo",Non-Veg,Normal
Cheese Burst - 3 New Flavours,Double Cheese Margherita Cheese Burst,₹298,Now in 3 New Flavours - Molten Cheese Indulgence with loaded delight of 100% real mozzarella cheese,Veg,Normal
Cheese Burst - 3 New Flavours,Cheese n Corn Cheese Burst,₹298,Molten Cheese Indulgence with a delectable combination of sweet & juicy golden corn,Veg,Normal
Cheese Burst - 3 New Flavours,Chicken Golden Delight Cheese Burst,₹398,"Now in 3 New Flavours - Molten Cheese Indulgence with Double pepper Barbecue chicken, golden corn and extra cheese",Non-Veg,Normal
Cheese Burst - 3 New Flavours,Chicken Fiesta Cheese Burst,₹428,"Now in 3 New Flavours - Molten Cheese Indulgence with Grilled chicken rashers, peri-peri chicken, onion & capsicum",Non-Veg,Normal
Cheese Burst - 3 New Flavours,Fresh Veggie Cheese Burst,₹308,Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion & capsicum,Veg,Normal
Cheese Burst - 3 New Flavours,Chicken Pepperoni Cheese Burst,₹468,"Now in 3 New Flavours - Molten Cheese Indulgence with American classic flavored Chicken Pepperoni, topped with extra cheese",Non-Veg,Normal
Cheese Burst - 3 New Flavours,Achari Do Pyaza Cheese Burst,₹288,Now in 3 New Flavours - Molten Cheese Indulgence with tangy & spicy achari flavours on a super cheesy onion pizza,Veg,Spicy
Cheese Burst - 3 New Flavours,The 5 Chicken Feast Cheese Burst,₹478,"Molten Cheese Indulgence Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken MeatBalls, Chicken Tikka, herby Chicken Sausage & Chicken Keema",Non-Veg,Normal
Cheese Burst - 3 New Flavours,Chicken Sausage Cheese Burst,₹298,Now in 3 New Flavours - Molten Cheese Indulgence with American classic herbed chicken sausage,Non-Veg,Normal
